timestamp,total_amount
1991-01-02,228.35000000000002
1991-01-03,439.99
1991-01-04,43.629999999999995
1991-01-05,228.57
1991-01-07,18.42
1991-01-09,42.16
1991-01-10,133.77
1991-01-13,13.58
1991-01-14,192.95
1991-01-15,232.29
1991-01-17,279.12
1991-01-18,15.52
1991-01-19,16.59
1991-01-20,97.63
1991-01-21,153.85
1991-01-22,128.32
1991-01-24,172.82
1991-01-25,41.71
1991-01-26,130.79
1991-01-27,11.63
1991-01-29,310.09
1991-01-30,14.31
1991-01-31,141.8
1991-02-01,25.83
1991-02-02,121.29
1991-02-03,90.38
1991-02-04,216.75
1991-02-06,245.15
1991-02-07,388.85
1991-02-08,94.43
1991-02-09,19.32
1991-02-10,310.94
1991-02-12,138.87
1991-02-13,15.8
1991-02-14,129.67
1991-02-15,18.56
1991-02-16,49.5
1991-02-17,160.51
1991-02-18,65.42
1991-02-19,116.56
1991-02-20,10.82
1991-02-21,22.46
1991-02-22,20.55
1991-02-24,142.64000000000001
1991-02-25,32.33
1991-02-26,14.44
1991-02-28,31.47
1991-03-01,231.54000000000002
1991-03-02,302.78999999999996
1991-03-03,105.99
1991-03-04,217.84
1991-03-10,18.17
1991-03-11,32.230000000000004
1991-03-12,168.97
1991-03-13,164.84
1991-03-14,376.92
1991-03-15,17.05
1991-03-16,32.19
1991-03-17,179.38
1991-03-19,410.25
1991-03-20,43.03
1991-03-21,104.1
1991-03-22,50.59
1991-03-23,234.39
1991-03-25,120.0
1991-03-28,20.78
1991-03-29,17.39
1991-03-31,327.15
1991-04-01,243.90999999999997
1991-04-03,53.38
1991-04-05,281.16
1991-04-07,46.66
1991-04-08,187.39000000000001
1991-04-09,191.89
1991-04-10,286.15
1991-04-11,41.03
1991-04-13,529.28
1991-04-14,131.59
1991-04-16,114.57000000000001
1991-04-18,93.75
1991-04-20,15.05
1991-04-21,89.51
1991-04-22,19.35
1991-04-23,121.1
1991-04-25,107.65
1991-04-26,8.52
1991-04-27,124.61
1991-04-29,124.97
1991-04-30,57.019999999999996
1991-05-01,15.49
1991-05-02,110.11
1991-05-03,135.01
1991-05-05,164.29000000000002
1991-05-06,251.17
1991-05-07,48.81
1991-05-08,80.0
1991-05-09,19.45
1991-05-10,12.66
1991-05-11,17.59
1991-05-12,12.41
1991-05-13,13.49
1991-05-15,226.17000000000002
1991-05-16,30.31
1991-05-17,243.36
1991-05-20,148.25
1991-05-21,251.15
1991-05-22,397.9
1991-05-24,19.86
1991-05-26,270.02
1991-05-27,295.76
1991-05-28,230.21
1991-05-29,1160.47
1991-05-30,63.74
1991-06-01,21.58
1991-06-03,19.26
1991-06-04,102.38000000000001
1991-06-05,117.92
1991-06-09,32.11
1991-06-10,38.65
1991-06-11,167.99
1991-06-12,62.99
1991-06-14,119.72
1991-06-15,245.5
1991-06-16,594.71
1991-06-17,143.15
1991-06-18,60.16
1991-06-19,216.42
1991-06-20,19.35
1991-06-21,33.32
1991-06-22,209.66
1991-06-23,102.44
1991-06-26,19.6
1991-06-27,14.41
1991-06-28,273.04
1991-06-29,158.61
1991-06-30,23.34
1991-07-01,254.21
1991-07-02,153.60999999999999
1991-07-03,301.42
1991-07-04,146.37
1991-07-05,376.71999999999997
1991-07-06,299.34000000000003
1991-07-07,291.66999999999996
1991-07-08,4.11
1991-07-09,375.02
1991-07-10,160.36
1991-07-11,328.69
1991-07-12,1184.34
1991-07-13,388.46
1991-07-14,326.97
1991-07-15,106.36999999999999
1991-07-16,277.77
1991-07-17,355.88
1991-07-18,88.56
1991-07-19,281.89
1991-07-20,524.7
1991-07-21,190.62
1991-07-22,263.36
1991-07-23,140.0
1991-07-24,365.88
1991-07-25,2581.4500000000003
1991-07-26,171.84
1991-07-27,623.79
1991-07-28,276.63
1991-07-29,258.85
1991-07-30,221.76
1991-07-31,241.15
1991-08-01,222.4
1991-08-02,451.65000000000003
1991-08-03,397.56
1991-08-04,351.18
1991-08-05,284.71000000000004
1991-08-06,263.8
1991-08-07,228.32999999999998
1991-08-08,326.21000000000004
1991-08-09,553.37
1991-08-10,356.86
1991-08-11,1372.34
1991-08-12,220.85999999999999
1991-08-13,403.44
1991-08-14,1029.02
1991-08-15,556.13
1991-08-16,57.949999999999996
1991-08-17,375.39
1991-08-18,146.57
1991-08-19,1081.7
1991-08-20,419.64
1991-08-21,598.0
1991-08-22,78.24000000000001
1991-08-23,239.66000000000003
1991-08-24,30.0
1991-08-25,487.30999999999995
1991-08-26,215.61
1991-08-27,166.01
1991-08-29,108.50999999999999
1991-08-30,193.07
1991-08-31,476.54
1991-09-01,191.29
1991-09-02,465.11
1991-09-03,261.19
1991-09-04,433.63
1991-09-05,242.79999999999998
1991-09-06,249.68
1991-09-07,207.51
1991-09-08,348.5
1991-09-09,238.36
1991-09-10,98.41
1991-09-11,90.72
1991-09-12,235.88
1991-09-13,475.1
1991-09-14,361.57
1991-09-15,55.49
1991-09-16,280.75
1991-09-17,393.85
1991-09-18,129.67000000000002
1991-09-19,130.45999999999998
1991-09-21,238.66
1991-09-22,731.9
1991-09-23,255.94
1991-09-24,255.84
1991-09-25,659.49
1991-09-26,20.770000000000003
1991-09-27,309.44
1991-09-28,210.6
1991-09-29,394.61
1991-09-30,2090.02
1991-10-01,594.93
1991-10-03,106.24000000000001
1991-10-04,72.77
1991-10-05,68.99
1991-10-06,867.1199999999999
1991-10-07,95.91999999999999
1991-10-08,402.12
1991-10-09,87.9
1991-10-10,89.94
1991-10-11,423.0
1991-10-12,92.52
1991-10-13,854.53
1991-10-14,234.24
1991-10-15,57.31
1991-10-17,1063.66
1991-10-18,-27.98999999999998
1991-10-19,898.9
1991-10-20,122.99000000000001
1991-10-21,798.49
1991-10-22,186.8
1991-10-23,202.77999999999997
1991-10-24,666.25
1991-10-25,531.91
1991-10-26,175.0
1991-10-27,389.47
1991-10-28,58.73
1991-10-29,248.67000000000002
1991-10-30,655.72
1991-10-31,195.41
1991-11-01,220.48000000000002
1991-11-02,1678.99
1991-11-03,242.0
1991-11-04,342.76
1991-11-05,383.64
1991-11-06,510.81
1991-11-07,177.82
1991-11-08,1058.17
1991-11-09,167.43
1991-11-11,158.29
1991-11-12,65.47
1991-11-13,86.39
1991-11-14,180.32
1991-11-15,-123.96999999999997
1991-11-16,346.75
1991-11-17,544.22
1991-11-18,266.06
1991-11-19,139.47
1991-11-20,388.14
1991-11-21,708.51
1991-11-22,857.96
1991-11-23,868.25
1991-11-24,192.53000000000003
1991-11-25,1216.36
1991-11-26,350.91999999999996
